,apartment,approveddate,bbl,bin,block,boroid,borough,buildingid,censustract,certifieddate,class,communityboard,councildistrict,currentstatus,currentstatusdate,currentstatusid,highhousenumber,housenumber,inspectiondate,latitude,longitude,lot,lowhousenumber,newcertifybydate,newcorrectbydate,novdescription,novid,novissueddate,novtype,nta,ordernumber,originalcertifybydate,originalcorrectbydate,postcode,registrationid,story,streetcode,streetname,violationid,violationstatus
11,5F,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2017-11-22,B,5,42,VIOLATION CLOSED,2018-06-30,19,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,"SECTION 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS TO THE APARTMENT  IN THE ENTRANCE  LOCATED AT APT 5F, 5th STORY, 2nd APARTMENT FROM SOUTH AT WEST , SECTION  AT  WEST",5825052,2017-08-14,Original,East New York (Pennsylvania Ave),530,2017-10-02,2017-09-18,11207,386446,5,76430,SHEFFIELD AVENUE,11924128,Close
12,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,C,5,42,VIOLATION CLOSED,2018-03-19,19,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) THROUGHOUT THE PUBLIC AREAS IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. AT PUBLIC HALL,5825056,2017-08-14,Original,East New York (Pennsylvania Ave),791,2017-09-16,2017-09-11,11207,386446,All Stories,76430,SHEFFIELD AVENUE,11924135,Close
13,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,A,5,42,NOT COMPLIED WITH,2018-06-30,21,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING ELECTRICAL SAFETY CAP COVERS AT ALL STORIES  AT PUBLIC HALL,5825054,2017-08-14,Original,East New York (Pennsylvania Ave),506,2017-12-01,2017-11-17,11207,386446,All Stories,76430,SHEFFIELD AVENUE,11924138,Open
14,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,B,5,42,VIOLATION CLOSED,2018-06-30,19,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,SECTION 27-2050 ADM CODE  PROVIDE 3 EXTRA SPRINKLER HEADS AND SUITABLE WRENCH FOR EMERGENCY PURPOSES AT O.S.Y. VALVE OF SPRINKLER IN ACCORDANCE WITH THE RULES AND REGULATIONS OF THIS DEPARTMENT (MISSING),5825055,2017-08-14,Original,East New York (Pennsylvania Ave),715,2017-10-02,2017-09-18,11207,386446,,76430,SHEFFIELD AVENUE,11924141,Close
15,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,A,5,42,NOT COMPLIED WITH,2018-06-30,21,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,"SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYï¿½ï¿½ï¿½S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",5825054,2017-08-14,Original,East New York (Pennsylvania Ave),500,2017-12-01,2017-11-17,11207,386446,1,76430,SHEFFIELD AVENUE,11924149,Open
16,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,A,5,42,NOT COMPLIED WITH,2018-06-30,21,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY",5825054,2017-08-14,Original,East New York (Pennsylvania Ave),1506,2017-12-01,2017-11-17,11207,386446,1,76430,SHEFFIELD AVENUE,11924150,Open
17,,2017-08-11,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,B,5,42,VIOLATION CLOSED,2018-06-30,19,500,500,2017-08-10,40.664832,-73.895082,7501,486,,,SECTION 27-2050 ADM CODE  PROVIDE A PIECE OF GARDEN HOSE 10 FEET IN LENGTH WITH FEMALE COUPLING AND A 10 QUART PAIL ON PREMISES TO TEST SPRINKLER SYSTEM.,5825055,2017-08-14,Original,East New York (Pennsylvania Ave),713,2017-10-02,2017-09-18,11207,386446,,76430,SHEFFIELD AVENUE,11924143,Close
18,2G,2017-07-09,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2017-11-22,B,5,42,SECOND NO ACCESS TO RE-INSPECT VIOLATION,2018-07-09,23,500,500,2017-07-08,40.664832,-73.895082,7501,486,,,"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION ''WEST'',  AT  SOUTHEAST",5796741,2017-07-10,Original,East New York (Pennsylvania Ave),568,2017-08-28,2017-08-14,11207,386446,2,76430,SHEFFIELD AVENUE,11868752,Open
19,6C,2017-10-26,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,C,5,42,SECOND NO ACCESS TO RE-INSPECT VIOLATION,2018-07-09,23,500,500,2017-10-25,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE LAMINATED WOOD FLOOR  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 6C, 6th STORY, 3rd APARTMENT FROM WEST AT NORTH",5882547,2017-10-27,Original,East New York (Pennsylvania Ave),502,2017-11-09,2017-11-04,11207,386446,6,76430,SHEFFIELD AVENUE,12037674,Open
20,7I,2018-07-09,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-08-16,B,5,42,CIV14 MAILED,2018-08-17,10,500,500,2018-07-05,40.664832,-73.895082,7501,486,,,"SECTION 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS ...  IN THE ENTRANCE  LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6135658,2018-07-10,Original,East New York (Pennsylvania Ave),530,2018-08-28,2018-08-14,11207,386446,7,76430,SHEFFIELD AVENUE,12466298,Open
21,2G,2018-01-29,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-04-09,A,5,42,SECOND NO ACCESS TO RE-INSPECT VIOLATION,2018-07-09,23,500,500,2018-01-29,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  REFIT WINDOW AT WEST WALL  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  WEST",6004119,2018-01-30,Original,East New York (Pennsylvania Ave),529,2018-05-19,2018-05-05,11207,386446,2,76430,SHEFFIELD AVENUE,12215561,Open
22,2G,2018-01-30,3038047501,3421640,3804,3,BROOKLYN,972232,1126,,B,5,42,SECOND NO ACCESS TO RE-INSPECT VIOLATION,2018-07-09,23,500,500,2018-01-29,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE RUBBER GASKET REFRIGERATOR DOOR  IN THE KITCHEN  LOCATED AT APT 2G, 2nd STORY, 1st APARTMENT FROM SOUTH AT WEST , SECTION  AT  WEST",6005109,2018-01-31,Original,East New York (Pennsylvania Ave),505,2018-03-21,2018-03-07,11207,386446,2,76430,SHEFFIELD AVENUE,12215549,Open
23,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,B,5,42,VIOLATION CLOSED,2018-03-13,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE SHEETRACK WALL AT EAST  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033844,2018-03-07,Original,East New York (Pennsylvania Ave),502,2018-04-25,2018-04-11,11207,386446,7,76430,SHEFFIELD AVENUE,12269285,Close
24,7I,2018-03-05,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,C,5,42,VIOLATION CLOSED,2018-07-09,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0;         IN THE ENTIRE APARTMENT  LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6032871,2018-03-06,Original,East New York (Pennsylvania Ave),790,2018-04-08,2018-04-03,11207,386446,7,76430,SHEFFIELD AVENUE,12269280,Close
25,7I,2018-03-05,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,C,5,42,VIOLATION CLOSED,2018-03-13,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE COUNTER BALANCE AT LOWER SASH, 1ST WINDOW FROM NORTH AT EAST  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6032870,2018-03-06,Original,East New York (Pennsylvania Ave),501,2018-03-19,2018-03-14,11207,386446,7,76430,SHEFFIELD AVENUE,12269279,Close
26,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,C,5,42,VIOLATION CLOSED,2018-03-21,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033845,2018-03-07,Original,East New York (Pennsylvania Ave),502,2018-03-20,2018-03-15,11207,386446,7,76430,SHEFFIELD AVENUE,12269281,Close
27,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,B,5,42,VIOLATION CLOSED,2018-07-09,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY SECURE THE LOOSE CERAMIC FLOOR TILES   IN THE KITCHEN  LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033844,2018-03-07,Original,East New York (Pennsylvania Ave),509,2018-04-25,2018-04-11,11207,386446,7,76430,SHEFFIELD AVENUE,12269283,Close
28,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,B,5,42,VIOLATION CLOSED,2018-03-13,19,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR  --INCORRECT INSTALLATION--  IN THE KITCHEN  LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033844,2018-03-07,Original,East New York (Pennsylvania Ave),702,2018-04-25,2018-04-11,11207,386446,7,76430,SHEFFIELD AVENUE,12269282,Close
29,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,C,5,42,VIOLATION DISMISSED,2018-03-13,9,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033845,2018-03-07,Original,East New York (Pennsylvania Ave),502,2018-03-20,2018-03-15,11207,386446,7,76430,SHEFFIELD AVENUE,12269286,Close
30,7I,2018-03-06,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,C,5,42,VIOLATION DISMISSED,2018-03-14,9,500,500,2018-03-02,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR   IN THE KITCHEN  LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6033845,2018-03-07,Original,East New York (Pennsylvania Ave),502,2018-03-20,2018-03-15,11207,386446,7,76430,SHEFFIELD AVENUE,12269284,Close
31,7I,2018-03-07,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,B,5,42,VIOLATION CLOSED,2018-07-09,19,500,500,2018-03-07,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6035005,2018-03-08,Original,East New York (Pennsylvania Ave),502,2018-04-26,2018-04-12,11207,386446,7,76430,SHEFFIELD AVENUE,12276388,Close
32,7I,2018-03-07,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-08,B,5,42,VIOLATION CLOSED,2018-07-09,19,500,500,2018-03-07,40.664832,-73.895082,7501,486,,,"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6035005,2018-03-08,Original,East New York (Pennsylvania Ave),502,2018-04-26,2018-04-12,11207,386446,7,76430,SHEFFIELD AVENUE,12276389,Close
33,7I,2018-03-13,3038047501,3421640,3804,3,BROOKLYN,972232,1126,2018-03-29,C,5,42,VIOLATION CLOSED,2018-04-26,19,500,500,2018-03-12,40.664832,-73.895082,7501,486,,,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0;         IN THE 2nd ROOM  FROM EAST LOCATED AT APT 7I, 7th STORY, 1st APARTMENT FROM NORTH AT EAST",6039437,2018-03-14,Original,East New York (Pennsylvania Ave),790,2018-04-16,2018-04-11,11207,386446,7,76430,SHEFFIELD AVENUE,12284248,Close
0,,2016-11-29,3038057501,3413699,3805,3,BROOKLYN,948722,1126,,I,5,42,VIOLATION DISMISSED,2016-12-21,9,491,491,2016-11-29,40.664986,-73.8951,7501,491,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,East New York (Pennsylvania Ave),780,,,11207,386229,,56630,SHEFFIELD AVENUE,11548159,Close
1,,2018-01-09,3038057501,3413699,3805,3,BROOKLYN,948722,1126,2018-01-24,A,5,42,VIOLATION DISMISSED,2018-04-06,9,491,491,2018-01-06,40.664986,-73.8951,7501,491,,,"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR ...  AT PUBLIC HALL, 1st STORY",5983756,2018-01-10,Original,East New York (Pennsylvania Ave),484,2018-04-29,2018-04-15,11207,386229,1,56630,SHEFFIELD AVENUE,12174439,Close
2,,2018-02-20,3038057501,3413699,3805,3,BROOKLYN,948722,1126,2018-04-09,B,5,42,VIOLATION CLOSED,2018-05-18,19,491,491,2018-02-17,40.664986,-73.8951,7501,491,,,SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE INOPERATIVE BELL AND RETURN BUZZER SYSTEM  AT FRONT AREAWAY,6021921,2018-02-21,Original,East New York (Pennsylvania Ave),501,2018-04-11,2018-03-28,11207,386229,,56630,SHEFFIELD AVENUE,12247922,Close
0,,2016-11-29,3038207501,3000000,3820,3,BROOKLYN,948724,1130,,I,5,42,VIOLATION DISMISSED,2016-12-21,9,494,494,2016-11-29,40.664166,-73.895855,7501,494,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ï¿½ï¿½27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,East New York (Pennsylvania Ave),780,,,11207,386403,,12030,GEORGIA AVENUE,11548179,Close
0,,2015-03-04,3056557504,3414177,5655,3,BROOKLYN,932120,220,,I,12,44,VIOLATION DISMISSED,2015-05-18,9,1272,1272,2015-03-04,40.634311,-73.99398,7504,1272,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Borough Park,780,,,11219,383281,,9130,51 STREET,10611126,Close
1,,2015-10-20,3056557504,3414177,5655,3,BROOKLYN,932120,220,,I,12,44,VIOLATION DISMISSED,2015-10-28,9,1272,1272,2015-10-20,40.634311,-73.99398,7504,1272,,,"SECTION27-2107 ADM CODE   OWNER FAILED TO FILE A VALID REGISTRATION STATEMENT WITH THE DEPARTMENT AS REQUIRED BY ADM CODE ?27-2097 AND IS THEREFORE SUBJECT TO CIVIL PENALTIES, PROHIBITED FROM CERTIFYING VIOLATIONS, AND DENIED THE RIGHT TO RECOVER POSSESSION OF PREMISES FOR NONPAYMENT OF RENT UNTIL A VALID REGISTRATION STATEMENT IS FILED.",0,,,Borough Park,780,,,11219,383281,,9130,51 STREET,10969832,Close
0,1,2017-04-10,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-05-12,B,10,43,FALSE CERTIFICATION,2017-06-28,8,411,411,2017-04-08,40.61321,-74.032762,7501,411,,,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",5725283,2017-04-11,Original,Bay Ridge,702,2017-05-30,2017-05-16,11209,383498,1,11480,99 STREET,11728214,Open
1,1,2017-04-10,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-05-12,B,10,43,FALSE CERTIFICATION,2017-06-28,8,411,411,2017-04-08,40.61321,-74.032762,7501,411,,,"SECTION 27-2046.1, 2046.2 HMC: PROVIDE AN APPROVED AND OPERATIONAL CARBON MONOXIDE DETECTING DEVICE, INSTALLED IN ACCORDANCE WITH APPLICABLE LAW AND RULES. IN THE ENTIRE APARTMENT  LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",5725283,2017-04-11,Original,Bay Ridge,1502,2017-05-30,2017-05-16,11209,383498,1,11480,99 STREET,11728215,Open
2,,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-10-16,A,10,43,VIOLATION DISMISSED,2017-12-27,9,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL, 1st STORY",5789185,2017-06-29,Original,Bay Ridge,1506,2017-10-16,2017-10-02,11209,383498,1,11480,99 STREET,11852474,Close
3,,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,,A,10,43,NOV SENT OUT,2017-06-29,2,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION 26-1103 ADMIN. CODE: POST AND MAINTAIN A PROPER NOTICE ON WALL OF THE ENTRANCE STORY IN ENGLISH AND SPANISH ON THE AVAILABILITY OF THE AGENCYï¿½ï¿½ï¿½S HOUSING INFORMATION GUIDE. A SAMPLE NOTICE CAN BE FOUND AT WWW.NYC.GOV/HPD. AT PUBLIC HALL, 1st STORY",5789185,2017-06-29,Original,Bay Ridge,500,2017-10-16,2017-10-02,11209,383498,1,11480,99 STREET,11852476,Open
4,,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-10-16,A,10,43,VIOLATION DISMISSED,2017-12-27,9,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION  27-2046.1 HMC: POST A PROPER NOTICE OF CARBON MONOXIDE DETECTING DEVICE REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, IN A COMMON AREA OF A CLASS A MULTIPLE DWELLING NEAR INSPECTION CERTIFICATE OR PROVIDE NOTICE TO TENANTS IN A PRIVATE DWELLING.  AT PUBLIC HALL, 1st STORY",5789185,2017-06-29,Original,Bay Ridge,1501,2017-10-16,2017-10-02,11209,383498,1,11480,99 STREET,11852477,Close
5,1,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-08-17,B,10,43,NOT COMPLIED WITH,2017-09-19,21,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",5789186,2017-06-29,Original,Bay Ridge,1503,2017-08-17,2017-08-03,11209,383498,1,11480,99 STREET,11852471,Open
6,1,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-08-17,B,10,43,NOT COMPLIED WITH,2017-09-19,21,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",5789186,2017-06-29,Original,Bay Ridge,702,2017-08-17,2017-08-03,11209,383498,1,11480,99 STREET,11852472,Open
7,,2017-06-28,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-10-16,A,10,43,VIOLATION DISMISSED,2017-12-27,9,411,411,2017-06-25,40.61321,-74.032762,7501,411,,,"SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL, 1st STORY",5789185,2017-06-29,Original,Bay Ridge,778,2017-10-16,2017-10-02,11209,383498,1,11480,99 STREET,11852481,Close
8,,2018-01-01,3061317501,3156033,6131,3,BROOKLYN,934382,162,2018-01-25,B,10,43,VIOLATION DISMISSED,2018-04-09,9,411,411,2018-01-01,40.61321,-74.032762,7501,411,,,"SECTION 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS ...  AT BOILER ROOM",5973260,2018-01-02,Original,Bay Ridge,530,2018-02-20,2018-02-06,11209,383498,Basement,11480,99 STREET,12167532,Close
9,,2017-08-11,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-11-29,A,10,43,VIOLATION DISMISSED,2018-02-09,9,411,411,2017-08-10,40.61321,-74.032762,7501,411,,,"SECTION 329, M/D LAW AND DEPT. RULES AND REGS.  PROVIDE A COMPLETED CERTIFICATE OF INSPECTION VISITS IN A PROPER FRAME AT OR NEAR MAILBOXES, BOTTOM EDGE OF FRAME BETWEEN 48-62 INCHES ABOVE FLOOR AT THE  PUBLIC HALL  AT PUBLIC HALL",5825039,2017-08-14,Original,Bay Ridge,484,2017-12-01,2017-11-17,11209,383498,All Stories,11480,99 STREET,11922933,Close
10,,2017-08-11,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-11-29,A,10,43,VIOLATION DISMISSED,2018-02-09,9,411,411,2017-08-10,40.61321,-74.032762,7501,411,,,"SECTION 27-2045 ADM CODE  POST A PROPER NOTICE OF SMOKE DETECTOR REQUIREMENTS, IN A FORM APPROVED BY THE COMMISSIONER, AT OR NEAR THE MAIL BOX AT THE PUBLIC HALL  AT PUBLIC HALL",5825039,2017-08-14,Original,Bay Ridge,700,2017-12-01,2017-11-17,11209,383498,All Stories,11480,99 STREET,11922939,Close
11,,2017-08-11,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-11-29,A,10,43,VIOLATION DISMISSED,2018-02-09,9,411,411,2017-08-10,40.61321,-74.032762,7501,411,,,SECTION 27-2104 ADM CODE  POST AND MAINTAIN A PROPER SIGN ON WALL OF ENTRANCE STORY SHOWING THE REGISTRATION NUMBER ASSIGNED BY THE DEPARTMENT AND THE ADDRESS OF THE BUILDING. AT PUBLIC HALL,5825039,2017-08-14,Original,Bay Ridge,778,2017-12-01,2017-11-17,11209,383498,All Stories,11480,99 STREET,11923822,Close
12,,2017-08-11,3061317501,3156033,6131,3,BROOKLYN,934382,162,2017-11-29,A,10,43,VIOLATION DISMISSED,2018-02-09,9,411,411,2017-08-10,40.61321,-74.032762,7501,411,,,"SECTION 27-2005 HMC: POST, IN A FORM APPROVED BY THE COMMISSIONER, AND MAINTAIN A NOTICE IN A COMMON AREA OF THE BUILDING REGARDING THE PROCEDURES THAT SHOULD BE FOLLOWED WHEN A GAS LEAK IS SUSPECTED AT PUBLIC HALL",5825039,2017-08-14,Original,Bay Ridge,1506,2017-12-01,2017-11-17,11209,383498,All Stories,11480,99 STREET,11923803,Close
13,1,2018-01-01,3061317501,3156033,6131,3,BROOKLYN,934382,162,2018-01-17,C,10,43,VIOLATION CLOSED,2018-01-28,19,411,411,2018-01-01,40.61321,-74.032762,7501,411,,,"SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF HOT WATER EXCEEDING THE MAXIMUM TEMPERTURE OF 130 DEGREES AT ALL HOT WATER FIXTURES   IN THE ENTIRE APARTMENT  LOCATED AT APT 1, 1st STORY, 1st APARTMENT FROM SOUTH AT WEST",5973261,2018-01-02,Original,Bay Ridge,510,2018-01-15,2018-01-10,11209,383498,1,11480,99 STREET,12167530,Close
