index,date_utc,full_text,geoenabled,location,long_lat,user
1332,Wed Nov 08 16:07:15 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87871, 42.87811]}",511nyWNY
1333,Wed Nov 08 13:57:09 +0000 2017,Aaptiv Playlist Incline 1.25 miles 23 min. Avg pace 3.3 Max pace 3.8.  Avg HR 115 max HR 132 #workoutwednesday... https://t.co/FIugZkF7uf,TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1334,Wed Nov 08 13:08:10 +0000 2017,Construction on #Route5 WB at 0.01 miles beyond I-190 https://t.co/zJwTwtAIHY,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87871, 42.87811]}",511nyWNY
1335,Mon Nov 06 14:36:46 +0000 2017,Aaptiv Forward Progress 1.50 miles 24:16 avg pace 3.7..max pace 4.2.  Avg HR 121 max HR 139 #moveitmonday... https://t.co/f0gQHbUx3y,TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1336,Fri Nov 03 12:16:18 +0000 2017,Ever have one of those weeks where you are just thankful for it to be Friday so you are that… https://t.co/nBs2UrU6WD,TRUE,"Troy, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",mellank
1337,Thu Nov 02 21:12:40 +0000 2017,#sabres colored chairs ahead of tonight’s #sabresafterdark game. #tbt #canalsidebuffalo… https://t.co/SJ6bY5HEOw,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",jimich527
1338,Thu Nov 02 13:22:52 +0000 2017,"Arc Trainer 20 min level 5 hill... (@ Annabells Super Secret Morning Gym in Buffalo, NY) https://t.co/fAStpvX9Gb",TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1339,Wed Nov 01 13:36:04 +0000 2017,"Aaptiv Walk for 3.  1.15 miles (actually farther, foot pod didn't pick first 6 min) 20:11.  Avg pace 3.4 max... https://t.co/H5WlWhi0sx",TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1340,Tue Oct 31 15:43:17 +0000 2017,"Elliptical Trainer Vol 1.  32 min (@ Annabells Super Secret Morning Gym in Buffalo, NY) https://t.co/bWDKCxGSOE",TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1341,Tue Oct 31 00:33:07 +0000 2017,✊🏼 @ Canalside Buffalo https://t.co/il5XaU67GN,TRUE,,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Jennnaannee
1342,Mon Oct 30 13:01:31 +0000 2017,Aaptiv Walk For 3.  1.10 miles 20 min.  Avg HR 115.  Max HR 135.  Avg pace 3.3 Max pace 3.8. https://t.co/NOYyJwyt3L,TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1343,Mon Oct 30 00:17:56 +0000 2017,spot the bird @ Canalside Buffalo https://t.co/R778B7sUxR,TRUE,New York,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",ivahlicious
1344,Sat Oct 28 17:03:58 +0000 2017,are we really from buffalo if we don’t take a picture with sharkeisha?! 🦈🏙 @ Shark Girl https://t.co/eBaAFeOVBr,TRUE,,"{'type': 'Point', 'coordinates': [-78.87838884, 42.87845831]}",kristinncoffey_
1345,Fri Oct 27 17:38:07 +0000 2017,"~Not a shoot~
#canon #700D #50mm #primelens #dslr #buffalo #newyork #usadiaries #picoftheday… https://t.co/HNYdIj7veo",TRUE,"San Francisco, CA","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",maidenizer666
1346,Fri Oct 27 15:08:37 +0000 2017,"~Magic of Prime 2~
#canon #700D #50mm #dslr #primelens #usadiaries #canalside #buffalo #newyork… https://t.co/q4hW8TU5gq",TRUE,"San Francisco, CA","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",maidenizer666
1347,Thu Oct 26 12:42:22 +0000 2017,30 min on elliptical avg HR 117 max HR 127.  not bad for not feeling well (@ Annabells Super Secret Morning Gym) https://t.co/u2yq8CdWHe,TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1348,Wed Oct 25 16:21:48 +0000 2017,Aaptiv Rock Throwback 1.80 miles 30:05.  Avg speed 3.6 max speed 4.2 Avg HR 120 max HR... https://t.co/3GKt9k93u6 https://t.co/3TMz1RDKn0,TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1349,Tue Oct 24 18:44:35 +0000 2017,"15 min on elliptical before work.. (@ Annabells Super Secret Morning Gym in Buffalo, NY) https://t.co/IHP6Gsmddo",TRUE,middle of nowhere ny,"{'type': 'Point', 'coordinates': [-78.87789463, 42.87909024]}",trtl_pwr_runner
1350,Sun Oct 22 19:04:44 +0000 2017,Love this place 😊 @ Liberty Hound https://t.co/aVv5IV2TFs,TRUE,"Rochester, NY, USA","{'type': 'Point', 'coordinates': [-78.87939839, 42.87722214]}",LizCoffeyxx
1351,Sun Oct 22 18:26:48 +0000 2017,☀️🚢 @ Canalside Buffalo https://t.co/BsVkQmRsnF,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",notixx
1352,Sun Oct 22 14:27:14 +0000 2017,Fall canalsidebflo. Get out there and enjoy the last day of summer in October! #latergram… https://t.co/ab5ABLVhBa,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",jimich527
1353,Sun Oct 22 00:47:44 +0000 2017,😂😜 @ Canalside Buffalo https://t.co/j3eQbp0AGo,TRUE,,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Jennnaannee
1354,Sat Oct 21 22:02:44 +0000 2017,#familytime #TeamKimble #DemKimbleBoyz👬 🌅🚎⛴ @ Canalside Buffalo https://t.co/ZJ3Akuilmm,TRUE,"Buffalo,NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",TKimble30
1355,Fri Oct 20 19:06:13 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1356,Fri Oct 20 01:02:51 +0000 2017,🔘🍂🍁 @ Canalside Buffalo https://t.co/aDCcmlLfa8,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",notixx
1357,Thu Oct 19 23:09:11 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/WP1QVyNbhw,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1358,Thu Oct 19 23:09:11 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/6wzwrpgzPZ,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1359,Thu Oct 19 18:31:07 +0000 2017,Dino 🐉 @ Canalside Buffalo https://t.co/F81hY6G7Mw,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",notixx
1360,Thu Oct 19 18:05:10 +0000 2017,Fall wheelin! 🍁🍂🌿🍃 @ Canalside Buffalo https://t.co/ZeLyLPlTUE,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",notixx
1361,Thu Oct 19 15:06:13 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87843, 42.87709]}",511nyWNY
1362,Thu Oct 19 15:06:13 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87843, 42.87709]}",511NY
1363,Thu Oct 19 14:32:11 +0000 2017,Construction on #Route5 WB at 0.08 miles beyond I-190 https://t.co/UqFJAlZS6n,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87843, 42.87709]}",511NY
1364,Thu Oct 19 14:32:11 +0000 2017,Construction on #Route5 WB at 0.08 miles beyond I-190 https://t.co/xaXAGxpMB9,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87843, 42.87709]}",511nyWNY
1365,Wed Oct 18 19:27:15 +0000 2017,Good Night Sweet Prince! May flights of angels sing thee to thy rest! ❤️ @ Buffalo Memorial… https://t.co/3zdjUneL1A,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.8775, 42.87805556]}",The_Pillagers
1366,Wed Oct 18 18:51:07 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1367,Wed Oct 18 18:51:07 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1368,Wed Oct 18 12:57:14 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/V8TTMO34ie,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1369,Wed Oct 18 12:57:14 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/a4mcKHao7d,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1370,Mon Oct 16 02:22:37 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/ZeH0lFhDY8,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1371,Mon Oct 16 02:22:37 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/4wiqLkCIfe,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1372,Sun Oct 15 00:57:39 +0000 2017,#canalsidebuffalo #makingstridesagainstbreastcancer2017 #sabretooth… https://t.co/oNNGPJ8zzT,TRUE,,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",k8barbati
1373,Sat Oct 14 16:29:10 +0000 2017,fuck cancer 💕 @ Canalside Buffalo https://t.co/motFPkURuv,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",sarahszymonek
1374,Sat Oct 14 16:19:13 +0000 2017,New Era squad Making Strides against Breast Cancer 💞🎀 @neweracap #runforacure #makingstrides716… https://t.co/7Af1dAArld,TRUE,,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",AshleySimula
1375,Sat Oct 14 13:57:03 +0000 2017,Fun at the cancer walk @ Canalside Buffalo https://t.co/A9thalFTnI,TRUE,NY,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Craig_Staszak
1376,Sat Oct 14 13:31:37 +0000 2017,Rise and Shine! Who's headed to Canalside?#FightBreastCancer #MakingStridesAgainstBreastCancer… https://t.co/IH8dPvwwSw,TRUE,,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",LucidPathways
1377,Sat Oct 14 13:26:56 +0000 2017,##ROCKINFORACURE Buffalo with my girls! #TeamPaddock @ Canalside Buffalo https://t.co/XyaWyqAfAz,TRUE,"Raleigh, NC","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",JillSmedley
1378,Fri Oct 13 17:37:15 +0000 2017,Word to @MarlinDMartin2 @ Canalside Buffalo https://t.co/JqzMa0VZsI,TRUE,da cut,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",ad1a
1379,Thu Oct 12 19:42:26 +0000 2017,"#Tbt ✨ La Ghost👻
@ghostfacekillah @ Canalside Buffalo https://t.co/Zo3ABKpIF0",TRUE,Lost in the 90s####,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",TheLatestoner
1380,Wed Oct 11 12:11:24 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1381,Wed Oct 11 12:11:24 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1382,Tue Oct 10 22:43:23 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/DLCqETP8F5,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1383,Mon Oct 09 18:42:21 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87896, 42.87905]}",511nyWNY
1384,Mon Oct 09 18:42:21 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87896, 42.87905]}",511NY
1385,Mon Oct 09 03:25:19 +0000 2017,Construction on #Route5 WB at 0.06 miles before I-190 https://t.co/zglCBW6VtQ,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87896, 42.87905]}",511NY
1386,Mon Oct 09 03:25:19 +0000 2017,Construction on #Route5 WB at 0.06 miles before I-190 https://t.co/CoHFQcdt7w,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87896, 42.87905]}",511nyWNY
1387,Sun Oct 08 00:41:09 +0000 2017,Gorgeous October summer night in #buffalo. #thinkers #breastcancerawareness #canalsidebuffalo… https://t.co/si21uyKAel,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",jimich527
1388,Fri Oct 06 18:48:14 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1389,Fri Oct 06 01:24:09 +0000 2017,"Shine bright like a diamond ✨#tbt
.
.
#lakeerie #lakeside #waterfront #lakes #lakelife #water… https://t.co/bjvvQn2Roe",TRUE,"Detroit, MI","{'type': 'Point', 'coordinates': [-78.878956, 42.8764755]}",UnrealPros
1390,Thu Oct 05 22:46:13 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/cOBMhUK5xC,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1391,Thu Oct 05 22:46:13 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/7bImMLFhFF,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1392,Thu Oct 05 20:54:22 +0000 2017,Dinner with a naval view. #buffalonavalpark #buffalonavalandmilitarypark #navalhistory @ Liberty… https://t.co/hXHEpBepFt,TRUE,"WNY, DC & the world","{'type': 'Point', 'coordinates': [-78.87939839, 42.87722214]}",mjslazak
1393,Thu Oct 05 18:47:11 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1394,Thu Oct 05 00:29:12 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/GrFts6OJAu,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1395,Wed Oct 04 17:30:21 +0000 2017,"10.4.17 | ⛵️⚓️
• 
•
•
(275 | 365)
•
•
•
•
#photoaday #photography #hashtagstepoutbuffalo… https://t.co/UiNY0YUnsU",TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",marissa_myers01
1396,Mon Oct 02 13:12:04 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/YxdcvAgJIb,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1397,Mon Oct 02 13:12:04 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/YxdcvAgJIb,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1398,Sat Sep 30 20:24:14 +0000 2017,Making friends downtown 🦈🦄 #sharkgirl #josephineameliawalker @ Canalside Buffalo https://t.co/nnZXjecCIk,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",katedangery
1399,Sat Sep 30 20:19:29 +0000 2017,Cleared: Construction on #NY5 EB at I-190 Niagara Expressway,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511NY
1400,Sat Sep 30 20:19:29 +0000 2017,Cleared: Construction on #NY5 EB at I-190 Niagara Expressway,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511nyWNY
1401,Sat Sep 30 20:02:26 +0000 2017,Cleared: Closure on #NY5 EB at I-190 Niagara Expressway,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511NY
1402,Sat Sep 30 20:02:26 +0000 2017,Cleared: Closure on #NY5 EB at I-190 Niagara Expressway,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511nyWNY
1403,Sat Sep 30 20:01:29 +0000 2017,Updated: Construction on #NY5 EB at I-190 Niagara Expressway https://t.co/cN71k1yWmM,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511NY
1404,Sat Sep 30 20:01:29 +0000 2017,Updated: Construction on #NY5 EB at I-190 Niagara Expressway https://t.co/PY2TQTlenU,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511nyWNY
1405,Sat Sep 30 19:39:18 +0000 2017,"It's okay, Jo, I don't know if I'd wanna be a spider either 😂🕸 #dramatic #josephineameliawalker… https://t.co/ZQRtTE0mjg",TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",katedangery
1406,Sat Sep 30 17:49:05 +0000 2017,Px POND HOCKEY FESTIVAL January 28th canalsidebflo! 🏒 @ Canalside Buffalo https://t.co/qIGkbqYd1k,TRUE,Hockey Heaven,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",PerformaxHockey
1407,Sat Sep 30 16:48:39 +0000 2017,#buffalove @ Canalside Buffalo https://t.co/XpkDuK9FbW,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",peterbaio
1408,Sat Sep 30 11:01:54 +0000 2017,Closure on #NY5 EB at I-190 Niagara Expressway https://t.co/r8mNuYBtI1,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511NY
1409,Sat Sep 30 11:01:49 +0000 2017,Closure on #NY5 EB at I-190 Niagara Expressway https://t.co/wDhz9eNo33,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511nyWNY
1410,Fri Sep 29 18:37:27 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87875, 42.87826]}",511nyWNY
1411,Fri Sep 29 18:37:27 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87875, 42.87826]}",511NY
1412,Thu Sep 28 23:25:22 +0000 2017,Construction on #Route5 WB at 0.00 miles before I-190 https://t.co/tLozFWvl8Q,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87875, 42.87826]}",511nyWNY
1413,Thu Sep 28 16:04:37 +0000 2017,Ride the other night was so summer ☀️ @ Canalside Buffalo https://t.co/eKAJn7FLeR,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",notixx
1414,Thu Sep 28 13:45:20 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/4dYHL7nGHu,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1415,Thu Sep 28 13:45:20 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/nnTyNgXp53,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1416,Thu Sep 28 13:09:19 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1417,Wed Sep 27 22:40:18 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/cg4SmLNcgb,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1418,Wed Sep 27 22:40:18 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/tgLYM0sIuY,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1419,Wed Sep 27 00:58:36 +0000 2017,That is one big blue chair! Today's sunset was cool. #Sunset #PerfectVision #WorkingWhileAtWork… https://t.co/FZYLIXlfSm,TRUE,BUFFALO NY,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",DJCPerfect
1420,Tue Sep 26 23:53:49 +0000 2017,"When clients asks...
 ""do you have uplights?"" I show off &amp; show them this! 😎 I didn't do this… https://t.co/OvNnobNMqF",TRUE,BUFFALO NY,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",DJCPerfect
1421,Mon Sep 25 20:37:15 +0000 2017,Ayeee @ Canalside Buffalo https://t.co/B4Ad7GdJf4,TRUE,"Lake Erie Beach, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Mike_Kowalski_1
1422,Mon Sep 25 18:53:14 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1423,Mon Sep 25 16:57:48 +0000 2017,Closure on #NY5 EB at I-190 Niagara Expressway https://t.co/cN71k1yWmM,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511NY
1424,Mon Sep 25 16:57:47 +0000 2017,Closure on #NY5 EB at I-190 Niagara Expressway https://t.co/PY2TQTlenU,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.878, 42.8761]}",511nyWNY
1425,Mon Sep 25 15:46:15 +0000 2017,"✨Never Not Working. 
#Latestoner #BuffaloArts #CanalSide #CreativeConnect #Fade #StayFaded #BnW… https://t.co/Hm8UmddRxS",TRUE,Lost in the 90s####,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",TheLatestoner
1426,Mon Sep 25 10:54:13 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/PVB3KPjSO4,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1427,Mon Sep 25 10:54:13 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/aoBdjfq64h,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1428,Sun Sep 24 00:53:56 +0000 2017,"Happy Birthday to one of my many Ed Sheeran Concert buddies, Kiran! 🎁♥️🎊🎂🎉💗 May all your wishes… https://t.co/TqKdelZCDo",TRUE,Route 66,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",loveloveloveM
1429,Sat Sep 23 19:05:59 +0000 2017,Drinking a Hayburner by @bigditchbrewing @ Canalside Beer Garden — https://t.co/TyfOURy6ys,TRUE,,"{'type': 'Point', 'coordinates': [-78.8788, 42.8759]}",Kevin_Curtin1
1430,Fri Sep 22 18:46:08 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1431,Fri Sep 22 05:47:09 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/SBUNl48xgU,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1432,Fri Sep 22 05:42:08 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1433,Fri Sep 22 05:42:07 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1434,Thu Sep 21 22:33:05 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/SBUNl48xgU,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1435,Thu Sep 21 22:33:05 +0000 2017,Construction on #Route5 WB at at I-190 https://t.co/Kxz0RrWY78,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1436,Wed Sep 20 22:34:36 +0000 2017,Caught you Slipping!!! #Buffalo #BuffaloNY #EricDaceyPhotography #ViewsOfTheNickel #IamBuffalo… https://t.co/4xaYAggDIj,TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Ericdacey
1437,Wed Sep 20 21:28:04 +0000 2017,Just posted a photo @ Canalside Buffalo https://t.co/jfrsYv0sIW,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",namcopunk
1438,Wed Sep 20 21:27:21 +0000 2017,Just posted a photo @ Canalside Buffalo https://t.co/MzwEXTcXDk,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",namcopunk
1439,Wed Sep 20 18:12:25 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1440,Wed Sep 20 18:12:25 +0000 2017,Cleared: Construction on #Route5 WB,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1441,Wed Sep 20 14:57:15 +0000 2017,716!!! #Buffalo #BuffaloNY #EricDaceyPhotography #ViewsOfTheNickel #IamBuffalo #716 #Buffalove… https://t.co/xmZAc557KY,TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Ericdacey
1442,Wed Sep 20 12:37:20 +0000 2017,Updated: Construction on #Route5 WB at at I-190 https://t.co/cY7Yu28Ojc,TRUE,Buffalo,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511nyWNY
1443,Wed Sep 20 12:37:20 +0000 2017,Updated: Construction on #Route5 WB at at I-190 https://t.co/QlfA5jx12D,TRUE,New York State,"{'type': 'Point', 'coordinates': [-78.87874, 42.87822]}",511NY
1444,Wed Sep 20 00:07:20 +0000 2017,Buffagrow!!!  #Buffalo #BuffaloNY #EricDaceyPhotography #ViewsOfTheNickel #IamBuffalo #716… https://t.co/ZorcadZd6A,TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",Ericdacey
1445,Mon Sep 18 22:00:41 +0000 2017,Nothing like a Monday morning row to canalsidebflo to get the week started off right! #rowgriffs… https://t.co/0ZZKf05PGD,TRUE,"Buffalo, NY","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",RowGriffs
1446,Sun Sep 17 15:07:58 +0000 2017,Stay cozy. @ Canalside Buffalo https://t.co/JVDswqStl7,TRUE,"New York, USA","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",AsapXJordon
1447,Sun Sep 17 00:17:46 +0000 2017,#saturdaynight #mylove💚#canalsidebuffalo #sandbox #feelslikeimwalkingonair #buffalo @ Canalside… https://t.co/yAx8m8yBCY,TRUE,"Buffalo, New York","{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",RachelMarie1031
1448,Sat Sep 16 21:39:36 +0000 2017,This os my favorite shot from the Simply Elegant set. What I love about this is how easy it was… https://t.co/JIJ3Iei55T,TRUE,Buffalo. NY,"{'type': 'Point', 'coordinates': [-78.87887894, 42.87636136]}",WriterCRShipman
